,graph,reward,trialNumber,trial_index,visited_nodes,difficulty,difficulty_2,unchoosen_diff,type,wid,RT_first_visit,RT_second_visit,RT,max_reward,current_reward,loss,accuracy,accuracy_1,df
0,"[[7, 8], [], [3, 4], [4, 1], [], [], [], [5, 6], [9], []]","[None, 0, -2, -3, 0, -3, 2, -4, -3, 0]",1,7,"{0, 8, 9}",3,,5.0,best_min,wdf61453,8.529319371214077,7.589335823170617,8.85893722196655,-2,-3,1,0,0,1
2,"[[], [], [], [], [9, 2], [0], [3, 8], [6, 5], [], [2, 1]]","[1, 1, 0, -4, 0, 4, -4, None, 2, 3]",3,9,"{0, 5, 7}",10,,6.0,best_alone,wdf61453,7.662937850461535,8.604104563405535,8.933400396056303,5,5,0,1,1,1
4,"[[4, 6], [], [9, 7], [], [6, 8], [], [], [5], [], [3, 1]]","[1, 1, None, -1, 4, 3, 0, 2, 4, -4]",5,11,"{2, 5, 7}",9,,2.0,best_alone,wdf61453,7.822444729489319,7.478734825567875,8.35819745992578,5,5,0,1,1,1
6,"[[3, 6], [0, 2], [8], [], [7, 9], [], [], [9, 5], [], []]","[-2, None, 3, -4, 2, 0, 2, 4, 4, 4]",7,13,"{8, 1, 2}",10,,6.0,best_alone,wdf61453,7.726212650507529,7.4181808227267885,8.276903481267057,7,7,0,1,1,1
8,"[[1], [], [7, 0], [], [], [], [9, 3], [4, 8], [], [3, 5]]","[-4, -2, None, 3, 1, -4, -2, 1, -3, 0]",9,15,"{2, 4, 7}",6,4.0,,best_second,wdf61453,8.020270472819238,8.000349495324684,8.70334075304372,2,2,0,1,1,1
10,"[[], [], [], [6, 7], [8, 1], [], [9, 0], [2], [1, 5], []]","[4, 4, -3, None, -1, -4, -1, 0, -4, 0]",11,17,"{2, 3, 7}",5,,4.0,best_second,wdf61453,8.55564437779049,8.876404915006939,9.421897054038473,3,-3,6,0,0,1
12,"[[3, 9], [6, 5], [], [], [2], [], [], [0, 4], [1, 6], []]","[4, 2, -4, -1, -1, -2, 1, None, -4, 3]",13,19,"{0, 9, 7}",8,1.0,,best_second,wdf61453,7.22983877815125,7.71333788887187,8.193400231952099,7,7,0,1,1,1
14,"[[4, 3], [], [], [], [3, 1], [2], [], [8, 5], [9, 6], []]","[0, -4, 4, 3, 2, 4, -2, None, -4, 4]",15,21,"{2, 5, 7}",11,,6.0,best_alone,wdf61453,7.527793987721444,6.981934677156389,7.984462732262197,8,8,0,1,1,1
16,"[[], [5, 4], [], [6, 9], [], [4, 0], [7, 8], [], [], [2]]","[-1, 4, 3, None, -2, -1, -4, -3, 3, 3]",17,23,"{9, 2, 3}",10,,6.0,best_alone,wdf61453,7.323830566202317,6.916715020353609,7.833600223661104,6,6,0,1,1,1
18,"[[8, 7], [5, 3], [9], [], [0, 2], [], [1, 5], [], [], []]","[-1, -3, 0, 2, None, 0, -2, 0, -4, 2]",19,25,"{0, 4, 7}",5,1.0,,best_alone,wdf61453,7.968665700466236,7.515344571180435,8.460411177317253,2,-1,3,0,0,1
20,"[[], [4, 0], [7, 8], [], [0, 9], [], [], [3, 6], [5], []]","[-4, 2, None, -3, 2, 0, -1, -4, -2, -3]",21,27,"{8, 2, 5}",4,,2.0,best_alone,wdf61453,7.716460800176354,7.288927694521257,8.218247926685745,-2,-2,0,1,1,1
22,"[[4, 2], [5, 6], [], [], [2, 3], [], [], [9], [1, 7], []]","[1, -3, 4, 3, -1, 1, -3, 4, None, 3]",23,29,"{8, 9, 7}",11,,4.0,best_alone,wdf61453,7.674152921281675,6.352629396319567,7.9102237070973445,7,7,0,1,1,1
24,"[[9, 7], [], [1, 4], [], [], [], [2, 1], [3], [], [8, 5]]","[None, -4, -3, 4, 4, -2, -1, 3, 0, -3]",25,31,"{0, 3, 7}",11,,2.0,best_alone,wdf61453,7.164720378771857,6.794586580876499,7.68937110752969,7,7,0,1,1,1
26,"[[6, 8], [], [5, 7], [], [2, 5], [], [3, 9], [], [1], []]","[None, 3, 0, 0, -4, 3, 4, -2, -1, 2]",27,33,"{0, 3, 6}",3,2.0,,best_second,wdf61453,7.373374309910049,6.98933526597456,7.892452043520352,6,4,2,0,1,1
28,"[[], [], [], [], [0, 3], [], [7, 9], [2, 1], [4, 0], [5]]","[-1, 3, -2, 4, -1, -4, None, 1, -2, -3]",29,35,"{1, 6, 7}",8,2.0,,best_second,wdf61453,7.601901959875166,7.025538314638521,8.047509510981422,4,4,0,1,1,1
30,"[[], [4, 5], [8, 7], [], [5, 0], [], [2, 9], [], [], [3]]","[3, -2, -3, 4, 4, -2, None, -4, 4, 0]",31,37,"{9, 3, 6}",7,,8.0,best_alone,wdf61453,7.307872780763706,6.694562058521095,7.740229524763181,4,4,0,1,1,1
32,"[[], [], [9, 0], [], [2, 9], [1, 3], [], [6], [5, 7], []]","[-4, 2, 1, -4, -3, -1, 2, 0, None, 2]",33,39,"{8, 6, 7}",4,,6.0,best_alone,wdf61453,8.025516386489008,6.309918278226516,8.190631680903538,2,2,0,1,1,1
34,"[[9], [2, 3], [], [], [1, 0], [], [5, 8], [6, 5], [], []]","[-4, 2, 4, 1, None, 1, 0, -2, 3, -3]",35,41,"{1, 2, 4}",8,1.0,,best_second,wdf61453,7.8709295967551425,6.070737728002491,8.023552392404348,6,6,0,1,1,1
36,"[[], [], [], [0], [5, 2], [], [4, 3], [9, 1], [], [1, 8]]","[1, -1, -2, 0, -1, 0, None, -2, 3, 2]",37,43,"{0, 3, 6}",3,,2.0,best_alone,wdf61453,8.435766192720507,6.2166061010848646,8.538758969330798,1,1,0,1,1,1
38,"[[], [3, 0], [6], [0, 9], [8, 2], [], [], [], [5, 7], []]","[3, 2, -2, 2, None, 3, -1, -1, 4, 1]",39,45,"{8, 4, 5}",7,5.0,,best_second,wdf61453,6.932447891572509,6.444131256700441,7.410347097821025,7,7,0,1,1,1
40,"[[4, 5], [], [], [2, 8], [1, 9], [6], [], [3, 2], [], []]","[None, -2, 2, 0, -3, 4, 0, -2, -4, -4]",41,47,"{0, 1, 4}",10,1.0,,best_alone,wdf61453,7.095893221097532,7.036148493750536,7.759187438507796,4,-5,9,0,0,1
42,"[[7], [6, 5], [1, 6], [], [], [], [], [], [9, 0], [3, 4]]","[4, 3, -4, -4, 2, 2, 3, 1, None, -4]",43,49,"{8, 0, 7}",10,,6.0,best_alone,wdf61453,7.365180126021012,7.074116816197362,7.9229859587111955,5,5,0,1,1,1
44,"[[8, 4], [], [6], [7, 2], [], [], [], [1, 5], [], [0, 8]]","[-2, 1, 4, None, -1, -1, 0, 0, 1, -1]",45,51,"{2, 3, 6}",4,,2.0,best_alone,wdf61453,7.893572073504902,6.887552571664617,8.204945165019206,4,4,0,1,1,1
46,"[[4], [7, 2], [], [], [], [9, 3], [], [], [1, 0], [3, 6]]","[-4, 3, 4, 4, -3, 2, -4, -2, None, 2]",47,53,"{8, 1, 2}",10,1.0,,best_second,wdf61453,7.205635176410364,7.627057417018934,8.131236549696116,7,7,0,1,1,1
48,"[[], [], [], [], [6, 3], [2, 1], [], [4, 9], [5, 2], [0]]","[0, -2, 2, -3, -1, 3, -1, None, 2, -1]",49,55,"{0, 9, 7}",2,,2.0,best_alone,wdf61453,8.250097752572845,7.186144304522325,8.546363568716018,-1,-1,0,1,1,1
50,"[[3], [], [5, 1], [], [], [1, 4], [7, 8], [], [], [6, 0]]","[-2, 3, -1, 1, 0, -4, 4, -3, 2, None]",51,57,"{8, 9, 6}",6,2.0,,best_second,wdf61453,8.069655306886165,7.186144304522325,8.415381925269553,6,6,0,1,1,1
52,"[[], [], [], [], [6, 9], [], [5, 1], [2, 3], [7, 2], [0]]","[4, 3, 4, 0, None, -1, -4, -3, 1, 4]",53,59,"{0, 9, 4}",11,,4.0,best_alone,wdf61453,7.669961995473577,6.522092798170152,7.945201132412759,8,8,0,1,1,1
54,"[[], [], [], [9, 0], [8, 5], [7], [], [], [2, 6], [0, 1]]","[-1, -4, -3, -2, None, 3, 3, 1, -2, -2]",55,61,"{4, 5, 7}",6,,6.0,best_alone,wdf61453,7.518607216815251,7.273092595999523,8.096208271650035,4,4,0,1,1,1
56,"[[], [0, 5], [], [8], [9, 2], [], [4, 3], [1, 0], [], []]","[0, -4, 1, -3, -3, -2, None, -4, -1, 2]",57,63,"{9, 4, 6}",2,4.0,,best_second,wdf61453,8.624970783589669,6.5337888379333435,8.741296282225148,-1,-1,0,1,1,1
58,"[[3, 9], [4, 5], [1, 7], [9, 8], [], [], [], [6], [], []]","[-1, 4, None, 2, 4, -3, -3, -4, 1, -1]",59,65,"{1, 2, 4}",11,7.0,,best_second,wdf61453,7.630461261783627,6.107022887742254,7.827240901752812,8,8,0,1,1,1
60,"[[], [], [9, 5], [0, 7], [2, 9], [], [3, 8], [], [1], []]","[3, -2, 4, 0, 2, 0, None, 4, 1, 4]",61,67,"{0, 3, 6}",3,4.0,,best_second,wdf61453,8.177515823846075,6.070737728002491,8.292047637431354,4,3,1,0,1,1
62,"[[], [], [], [7, 6], [5, 1], [], [], [6, 2], [0], [4, 8]]","[-1, -1, -1, -1, 4, 4, 2, 1, 2, None]",63,69,"{9, 4, 5}",6,5.0,,best_second,wdf61453,7.741099090035365,6.107022887742254,7.918992488165245,8,8,0,1,1,1
64,"[[], [], [], [8, 5], [6, 7], [1], [7, 9], [], [2, 0], []]","[0, 4, -2, None, 0, 4, 0, -4, -1, 4]",65,71,"{1, 3, 5}",10,,2.0,best_alone,wdf61453,7.741099090035365,6.405228458030842,7.974188669286012,8,8,0,1,1,1
66,"[[], [3, 9], [], [9, 0], [6], [2, 8], [], [5, 4], [], []]","[-3, -4, -1, 4, -3, -3, -4, None, -2, 0]",67,73,"{2, 5, 7}",2,1.0,,best_second,wdf61453,8.368229038276278,6.431331081933479,8.502688505213357,-4,-4,0,1,1,1
68,"[[8], [7, 4], [], [1, 7], [], [2, 9], [5, 0], [], [], []]","[3, -3, 2, -4, -2, 4, None, -4, -4, -3]",69,75,"{2, 5, 6}",6,7.0,,best_second,wdf61453,7.052721049232323,7.355001921105257,7.908019444632471,6,6,0,1,1,1
70,"[[], [7, 6], [9, 3], [], [2, 8], [1, 7], [], [], [0], []]","[-4, 0, 4, 4, None, -4, 3, 2, -4, -2]",71,77,"{2, 3, 4}",11,0.0,,best_second,wdf61453,7.234177179749849,6.685860947068359,7.689828668736483,8,8,0,1,1,1
72,"[[], [], [], [4, 0], [], [9, 6], [], [1], [3, 7], [6, 2]]","[3, 4, -4, -4, 1, 2, 0, 4, None, -1]",73,79,"{8, 1, 7}",10,,2.0,best_alone,wdf61453,7.130098510125578,6.306275286948015,7.4933172488621445,8,8,0,1,1,1
74,"[[], [5, 4], [3], [], [], [], [], [0, 6], [7, 0], [1, 2]]","[-4, 4, -2, 3, 2, 1, 4, 3, -4, None]",75,81,"{9, 4, 1}",3,2.0,,best_second,wdf61453,8.64259160081057,7.090076835776092,8.834482608620675,6,6,0,1,1,1
76,"[[], [9, 6], [], [8, 5], [], [], [0], [], [5, 7], [4, 2]]","[1, None, -3, -2, -1, 2, 4, 2, -4, -4]",77,83,"{0, 1, 6}",11,,2.0,best_alone,wdf61453,7.528331766707247,7.022868086082641,8.000014093678072,5,5,0,1,1,1
