,graph,reward,trialNumber,trial_index,visited_nodes,difficulty,difficulty_2,unchoosen_diff,type,wid,RT_first_visit,RT_second_visit,RT,max_reward,current_reward,loss,accuracy,accuracy_1,df
5378,"[[1, 4], [], [], [8, 2], [], [9, 7], [3, 0], [], [], [7]]","[-1, -3, -3, 4, 1, 4, None, -3, 2, -4]",100,105,"{8, 3, 6}",7,7.0,4.0,best_second,wb651fe0,7.8898337513942955,6.897704943128636,8.204945165019206,6,6,0,1,1,2
5380,"[[], [], [], [2, 5], [1, 0], [], [7], [], [6, 7], [4, 3]]","[-2, 3, -1, -4, 3, -4, 0, -2, -2, None]",102,107,"{9, 4, 1}",10,5.0,3.0,best_second,wb651fe0,7.344719054149673,6.854354502255021,7.822044008185619,6,6,0,1,1,2
5382,"[[], [], [6, 5], [7, 4], [], [1, 8], [9, 0], [4], [], []]","[4, -2, None, -2, 3, 3, 0, -3, -1, 3]",104,109,"{0, 2, 6}",2,4.0,1.0,best_second,wb651fe0,9.000853147109458,7.307872780763706,9.169622538697624,4,4,0,1,1,2
5384,"[[], [], [8], [], [], [2, 8], [7, 9], [0, 4], [], [3, 1]]","[1, -3, 3, -2, -1, 1, None, -3, 1, -3]",106,111,"{0, 6, 7}",3,2.0,1.0,best_second,wb651fe0,8.179760493699899,6.591673732008658,8.3654396361887,-2,-2,0,1,1,2
5386,"[[7, 1], [9, 8], [], [6, 4], [], [], [4], [2, 5], [], []]","[None, 4, 2, 1, 2, 3, 3, -3, 3, 0]",108,113,"{0, 1, 8}",6,1.0,1.0,best_second,wb651fe0,7.784473235736469,7.394493107219038,8.301273485191347,7,7,0,1,1,2
5388,"[[4, 9], [], [3], [], [8, 5], [], [2, 3], [], [], [7, 1]]","[None, -3, 1, 2, 3, 4, 0, 3, -1, -4]",110,115,"{0, 4, 5}",9,1.0,6.0,best_second,wb651fe0,7.221835825288449,7.088408778675395,7.850103545175582,7,7,0,1,1,2
5390,"[[], [5, 3], [], [8, 2], [7, 0], [6, 9], [], [0], [], []]","[-3, None, -2, 3, -4, -4, -4, 0, 2, -1]",112,117,"{8, 1, 3}",9,5.0,3.0,best_second,wb651fe0,8.12355783506165,6.285998094508865,8.271036865792954,5,5,0,1,1,2
5392,"[[4], [], [6, 3], [], [], [2, 7], [], [1, 8], [], [0, 4]]","[2, 2, -4, -1, -4, None, 1, 4, 1, -2]",114,119,"{1, 5, 7}",7,3.0,2.0,best_second,wb651fe0,7.637234388789473,6.56244409369372,7.930565854233965,6,6,0,1,1,2
5394,"[[4], [], [], [0, 4], [], [], [2, 5], [1, 8], [], [6, 7]]","[3, -4, -4, 1, -2, 4, 2, -1, 2, None]",116,121,"{9, 5, 6}",8,2.0,6.0,best_third,wb651fe0,8.148445666243237,7.002155954403621,8.424200324567073,6,6,0,1,1,2
5396,"[[6, 5], [], [7, 1], [], [3], [], [], [], [2, 0], [4, 3]]","[-1, -4, -3, 1, 0, -4, 2, -3, None, 4]",118,123,"{8, 0, 6}",7,3.0,1.0,best_second,wb651fe0,9.314880551250107,7.873978379604501,9.527265662897605,1,1,0,1,1,2
5398,"[[8], [5, 3], [], [9, 7], [0, 8], [2, 6], [], [], [], []]","[-1, None, -3, 1, -3, 1, 4, -2, 2, -4]",120,125,"{1, 5, 6}",7,3.0,2.0,best_third,wb651fe0,7.587817219993426,7.038783541388542,8.043342170441608,5,5,0,1,1,2
