,graph,reward,trialNumber,difficulty,difficulty_2,type,wid,RT_first_visit,RT_second_visit,RT,max_reward,current_reward,loss,accuracy,accuracy_1,df,unchoosen_diff
2518,"[[9, 10], [], [5, 8], [7, 4], [], [], [2, 3], [], [], [10], []]","[1, -3, 3, -2, -3, -3, None, -2, 4, -4, 0]",389,10,1.0,best_second,w8a33730,7.160845906664298,7.771067086065406,8.204671828950811,7,7,0,1,1,2,1.0
2520,"[[], [], [5, 6], [10], [], [4, 8], [0, 9], [3, 10], [], [], []]","[-3, 0, None, -3, 4, 4, -3, -1, -2, -2, -4]",111,11,6.0,best_second,w8a33730,6.9865664594064265,7.001245622069476,7.686621334944619,8,8,0,1,1,2,1.0
2521,"[[6, 1], [4, 9], [], [10], [], [3, 10], [7, 8], [], [], [], []]","[None, -4, 2, -2, 3, 4, 4, -3, 2, -2, 4]",187,8,2.0,best_second,w8a33730,7.160845906664298,8.228977643358313,8.524168805152662,6,6,0,1,1,2,5.0
2522,"[[8, 10], [], [], [], [], [], [], [9, 4], [5, 6], [4], [1, 2]]","[None, 2, 4, 3, -2, -2, 2, 0, 4, 2, -1]",385,4,2.0,best_third,w8a33730,6.984716320118266,7.419979923661836,7.91862865334224,6,6,0,1,1,2,2.0
2524,"[[], [], [1, 9], [], [8], [4, 8], [3, 7], [], [], [], [6, 2]]","[0, -1, 0, 0, 4, -3, 4, 4, -1, 0, None]",151,7,0.0,best_second,w8a33730,6.771935555839602,6.0330862217988015,7.161622002939187,8,4,4,0,1,2,1.0
2528,"[[4, 1], [], [0, 6], [10], [], [3, 10], [8, 7], [], [], [], []]","[-4, -1, None, 1, -4, -1, 2, 4, -4, -2, 2]",301,11,2.0,best_second,w8a33730,7.766840537085513,7.789454566086673,8.471149252914831,6,6,0,1,1,2,3.0
2529,"[[], [], [1], [], [6, 5], [3, 7], [10, 0], [], [2, 1], [], []]","[-4, 2, 2, 4, None, 3, -3, 1, 2, 4, 3]",249,8,2.0,best_second,w8a33730,7.625595072132454,6.48768401848461,7.903226808730733,7,7,0,1,1,2,7.0
2531,"[[], [], [7, 4], [], [10, 1], [], [9, 5], [0, 3], [], [5], []]","[-3, 4, None, -1, -2, -2, -2, -3, -4, 2, 0]",395,6,6.0,best_second,w8a33730,8.005367067316664,7.591357046698551,8.512582578858556,2,-2,4,0,1,2,2.0
2532,"[[6, 4], [], [], [], [], [1], [], [], [5, 1], [3, 2], [0, 9]]","[-4, 2, -4, 1, -3, -3, 0, -1, 4, 3, None]",175,8,7.0,best_second,w8a33730,7.374001859350161,7.873978379604501,8.347827345782498,4,4,0,1,1,2,3.0
2533,"[[8], [], [], [], [0, 8], [1, 10], [5, 9], [], [], [7, 3], []]","[3, 0, 4, -4, -3, 4, None, 3, 0, -3, 2]",125,7,2.0,best_second,w8a33730,7.205635176410364,7.462214939768189,8.03495502450216,6,6,0,1,1,2,7.0
2537,"[[1, 9], [], [], [], [], [], [5, 3], [4], [0, 6], [], [7, 4]]","[0, 4, -3, -4, -4, -2, -1, -2, None, -4, -3]",195,8,4.0,best_third,w8a33730,7.866722285136729,7.076653815443951,8.240648863374913,4,4,0,1,1,2,2.0
2538,"[[], [], [], [], [8, 0], [10, 9], [1, 3], [6, 5], [0], [], []]","[-2, -4, 0, -3, -1, 4, -3, None, -1, -3, 3]",361,11,0.0,best_second,w8a33730,7.783224016336037,8.200837258379849,8.706655856361557,7,-6,13,0,0,2,6.0
2539,"[[10, 5], [], [], [], [1], [3, 2], [], [], [4, 1], [], [6, 7]]","[None, 4, 3, 0, 0, -2, -2, -3, 1, 0, 2]",73,2,5.0,best_min,w8a33730,7.724888439323074,7.84971375760487,8.482187582217422,1,0,1,0,0,2,3.0
2541,"[[10, 2], [], [], [6, 0], [7], [], [9, 1], [], [4, 7], [], []]","[4, -2, 2, None, -3, 4, 0, 0, -2, -4, -4]",91,8,2.0,best_second,w8a33730,7.756195343948118,8.261268150577648,8.733271845008327,6,6,0,1,1,2,2.0
2542,"[[], [9, 4], [], [], [], [], [], [0, 5], [10, 7], [4], [3, 2]]","[4, 3, 2, 4, 0, -2, 1, 2, None, -4, -3]",237,6,4.0,best_third,w8a33730,7.530479995245536,6.815639990074331,7.928406026180535,6,6,0,1,1,2,2.0
2543,"[[10, 1], [], [9, 7], [], [], [], [], [3, 5], [], [8, 6], [1]]","[-1, -3, None, 1, 2, -2, 3, -3, -3, 4, 2]",19,9,1.0,best_second,w8a33730,7.126087273299125,7.299121462710799,7.909122183211411,7,7,0,1,1,2,3.0
2545,"[[], [0, 10], [3, 4], [], [], [], [9, 5], [1, 2], [], [5], []]","[2, 2, 3, -4, 0, 0, 3, None, 2, -3, 4]",309,4,3.0,best_second,w8a33730,8.720950028930258,8.288534459413917,9.220983532074662,6,3,3,0,0,2,2.0
2547,"[[], [], [5, 6], [8], [], [7, 9], [1, 4], [], [], [], [3, 8]]","[0, 1, None, 3, -2, -3, -3, 0, -1, -1, 1]",275,2,2.0,best_min,w8a33730,9.391160802643869,7.114769448366464,9.488805094878355,-2,-3,1,0,0,2,3.0
2548,"[[7, 8], [], [], [], [9], [], [4, 9], [2, 10], [5, 3], [], []]","[None, 2, 1, -3, 2, -4, 3, 4, 1, 0, -2]",99,6,6.0,best_second,w8a33730,7.134093721192866,7.758333467490911,8.187021067343503,5,5,0,1,1,2,1.0
2550,"[[10], [], [], [], [7, 3], [0, 10], [], [], [2, 1], [8, 4], []]","[2, -2, -3, 3, 4, 3, -1, -3, -4, None, -3]",29,11,1.0,best_second,w8a33730,7.724004656676065,8.163656176168432,8.660773919893762,7,7,0,1,1,2,1.0
2553,"[[], [4], [1, 4], [9, 6], [], [7, 10], [], [], [3, 5], [], []]","[4, 2, 4, -3, 1, 4, -3, -3, None, -4, -1]",207,7,5.0,best_second,w8a33730,8.286017468404763,7.8674885686991285,8.791486026749002,3,3,0,1,1,2,1.0
2555,"[[7, 1], [], [], [], [3], [], [4, 3], [], [], [0, 10], [8, 5]]","[-3, 1, 0, 0, 2, 3, 3, 3, -4, None, 0]",293,5,3.0,best_min,w8a33730,7.7025561132685825,7.979681302387741,8.543640361431086,3,3,0,1,1,2,2.0
2556,"[[], [7, 10], [], [1, 5], [], [2, 4], [9, 8], [], [], [8], []]","[3, 2, 2, None, -3, 4, 3, 1, -1, 3, 3]",253,3,7.0,best_min,w8a33730,7.837554360881085,6.807934943699926,8.142645185942794,6,6,0,1,1,2,2.0
2558,"[[], [9, 0], [], [], [], [2, 4], [1, 5], [], [10, 7], [], [7]]","[-1, 1, 0, -4, 2, -1, None, -2, 1, 3, -3]",47,4,2.0,best_third,w8a33730,7.698936199813447,6.660575149839686,8.001689978099135,4,4,0,1,1,2,2.0
2561,"[[8, 7], [], [], [], [], [4, 3], [9, 5], [], [7], [10, 2], []]","[-2, -2, 3, -4, -2, -4, None, 3, -3, -1, -3]",197,8,4.0,best_second,w8a33730,7.559038255443383,7.7195739892595805,8.335431477880796,2,2,0,1,1,2,2.0
